"latitude;";longitude
"41.1416381666666;";-8.64874133333333
"41.1416375;";-8.6488339
"41.1416354;";-8.6487614
"41.1416344950358;";-8.64876394160897
"41.1416341;";-8.6487338
"41.1416304;";-8.6487533
"41.1416299;";-8.6487415
"41.1416295;";-8.6487326
"41.1416289210704;";-8.6487624328664
"41.1416289;";-8.6487704
"41.1416263333333;";-8.6487655
"41.1416259848685;";-8.64875084118678
"41.1416003;";-8.6488597
"41.1415892;";-8.6488022
"41.141343;";-8.6487788
"41.1412974;";-8.6488351
"41.141172;";-8.62324983333333
"41.1411690093863;";-8.61399424161771
"41.141016646338;";-8.6173947133003
"41.1410144939823;";-8.61732695253535
"41.1410059332993;";-8.61736381205948
"41.1409987;";-8.6508413
"41.1409566;";-8.6174173
"41.1409461291022;";-8.61739160156236
"41.1409411;";-8.6511686
"41.1409348;";-8.6511904
"41.1409311;";-8.6174136
"41.1409228986467;";-8.61743353585848
"41.1409210552446;";-8.61710293397088
"41.1409078;";-8.6173902
"41.1409052760795;";-8.6174724531722
"41.1408996390729;";-8.61743728643143
"41.1408973;";-8.6512286
"41.1408963882944;";-8.61746574935936
"41.1408815;";-8.6174529
"41.1408814229456;";-8.65080812015445
"41.1408803;";-8.6511401
"41.1408394;";-8.6507517
"41.1408364;";-8.6516769
"41.1408321666666;";-8.65081
"41.1408311;";-8.6508126
"41.1408299;";-8.6508237
"41.1408179;";-8.6507717
"41.1408;";-8.61739933333333
"41.1407740088562;";-8.65088037215978
"41.1407018;";-8.6169039
"41.1402241;";-8.6529759
"41.1402203;";-8.6057626
"41.1401437144666;";-8.61401339829567
"41.1401356070972;";-8.61410157043469
"41.1401335476351;";-8.61405381002334
"41.1392517186045;";-8.60964211608046
"41.1392015;";-8.6541281
"41.1391731666666;";-8.65411933333333
"41.1391724;";-8.6541094
"41.1391715710936;";-8.65408596940269
"41.1391525;";-8.6541489
"41.1390988402022;";-8.6091333796808
"41.1390338410054;";-8.654095649825
"41.138951410023;";-8.61167713748795
"41.1387383039113;";-8.61043753545461
"41.1385537265251;";-8.61169438809958
"41.1384419119368;";-8.61128970981446
"41.1383268586177;";-8.61126493603684
"41.1383067100079;";-8.61125449788008
"41.1383044685919;";-8.61119015208062
"41.1382928623124;";-8.61135879911229
"41.1382926333794;";-8.61124012368702
"41.1382924613782;";-8.61116808103591
"41.1382900737611;";-8.61131083221045
"41.1382899899418;";-8.61132558436003
"41.1382821692446;";-8.61265648402077
"41.1382774154376;";-8.61133416288986
"41.1382766653401;";-8.61124072386893
"41.1382763987615;";-8.61121794978961
"41.1382721451141;";-8.61127509094163
"41.1382710887504;";-8.6112631391814
"41.138269202822;";-8.61125526019242
"41.1382633773995;";-8.61125056632665
"41.1382578413047;";-8.61123001303819
"41.1382575417603;";-8.61132390346768
"41.1382566;";-8.6112926
"41.138256;";-8.6112378
